Title,Company Name,Experience (yrs),Location,Salary,Job Description,Skills,Date Posted
Front - End Developer Fresher / Experience,Bytebrains,0 - 3,"Bengaluru / Bangalore,  Chennai,  Hyderabad/Secunderabad,  Pune,  Cochin/ Kochi/ Ernakulam",₹Rs 4.50 - 7.50 Lacs p.a.,"Job description:Job descriptionWe re seeking enthusiastic ,  early-career Front-End Developers to join our growing team. You ll work alongside experienced developers ,  contri","Computer Science  ,  Open Source  ,  Front End  ,  Javascript  ,  VB.net  ,  html  ,  GIT  ,  MVC  ,  CSS  ,  Web Services  ,  html5  ,  Css3  ,  angular  ,  Node.js  ,  jquery  ,  Bootstrap  ,  Core Java",Posted 1 day ago
Senior Software Developer- Vue JS,ykt talentica india pvt ltd,3 - 5,Pune,,": Senior Software Developer- Vue JSTalentica Software is a boutique software development company started by industry veterans and ex- IITB grads. At Talentica ,  we help start","javascript proficiency  ,   vue.js knowledge  ,   web application framework  ,   unit testing  ,   es6  /  es7   ,  fundamentals  ,  css  ,  github  ,  bootstrap  ,  javascript developer  ,  senior software developer  ,  infrastructure  ,  json  ,  html",Posted few days ago
Senior Software Engineer - Vue.js,virtusa consulting services pvt. ltd.,4 - 8,Sri Lanka,,Senior Software Engineer - Vue.js - CREQ187875DescriptionQualifications:Minimum of 4 years of hands-on experience in frontend development.3  years of experience with Vue.js 3,"vue  ,  js development   ,   frontend technologies   ,   javascript expertise   ,   restful api integration   ,   version control   (  git  )     ,  css  ,  aop  ,  html5  ,  senior software engineer  ,  jee  ,  software requirements  ,  spring  ,  unix scripting  ,  security  ,  apache  ,  spring mvc  ,  java se  ,  java enterprise edition  ,  junit  ,  oracle  ,  maven  ,  java developer",Posted a month ago
"Nielsen - Software Engineer  (  Go ,  Ruby ,  Javascript ,  React ,  Vue ,   , ElK )",Nielsen Research Ltd. Co.,2 - 4,Bengaluru / Bangalore,,"## **Position:** Software Engineer  **Location:** Bangalore ,  India**Technology:** Engineering  /  HybridAt Nielsen ,  we believe that career growth is a partnership. You ult","go  ,   ruby  ,   javascript  ,   react  ,   vue    ,  orchestration  ,  docker  ,  postgresql  ,  devops  ,  software engineer  ,  big data  ,  cassandra  ,  production environment  ,  system architecture",Posted 6 days ago
Frontend Developer  ( Team Lead ) - Angular  /  React JS  /  Vue JS,CONNECTING 2 WORK,6 - 9,Thiruvananthapuram,,"Description:Design and develop new apps with clean and excellent quality code.maintain ,  update and add new features to the existing applicationMentor and upskill Junior Deve","Linux   ,  Ubuntu  ,  Angular   ,  Design   ,  Frontend Developer",Posted few days ago
"Nielsen - Staff Software Engineer -  ( Go ,  Ruby ,  Javascript ,  React ,  Vue ,  Devops )",Nielsen Research Ltd. Co.,8 - 11,Bengaluru / Bangalore,,"Position: Staff Software EngineerLocation: Bangalore ,  IndiaTechnology: Go ,  Ruby ,  Javascript ,  React ,  Vue ,  DevopsEmployment Type: Full TimeWork Arrangement: HybridAt","go   ,   ruby   ,   javascript   ,   react   ,   devops   ,  orchestration  ,  docker  ,  postgresql  ,  software engineer  ,  big data  ,  cassandra  ,  production environment  ,  system architecture",Posted few days ago
"Nielsen - Software Engineer -  ( Go ,  Ruby ,  Javascript ,  React ,  Vue ,  Devops )",Nielsen Research Ltd. Co.,2 - 4,Bengaluru / Bangalore,,"Position: Software EngineerLocation: Bangalore ,  IndiaTechnology: Go ,  Ruby ,  Javascript ,  React ,  Vue ,  DevopsType: Full Time  /  HybridAt Nielsen ,  we believe that ca","go  ,   ruby  ,   javascript  ,   react  ,   devops   ,  orchestration  ,  docker  ,  postgresql  ,  software engineer  ,  big data  ,  cassandra  ,  production environment  ,  system architecture",Posted few days ago
"Full Stack Developer  ( Laravel   Vue.Js )  North Delhi  ( Rohini )  No. of Positions: 1 Posted On 10 June ,  2024",nethues technologies,3 - 6,"Delhi,  Delhi/NCR",,"Full Stack Developer  ( Laravel   Vue.Js ) Location: North Delhi  ( Rohini ) No. of Positions: 1Posted On: 10 June ,  2024:Responsibilities:Develop and implement Backend compo","laravel backend   ,   vue  ,  js ui   ,   database technologies   ,   restful apis   ,   problem solving   ,  fundamentals  ,  css  ,  javascript  ,  security  ,  postgresql  ,  mysql  ,  web development  ,  html  ,  mongodb",Posted 6 days ago
"Nielsen - Senior  /  Lead Front End Developer -  (  Java ,  Go lang ,  Javascript ,  React ,  Vue ,  APIs ,  AWS ,  Kubernetes ,  Terraform",Nielsen Research Ltd. Co.,5 - 10,Bengaluru / Bangalore,,"Position: Senior  /  Lead Front End DeveloperLocation: Bangalore ,  IndiaTechnology: EngineeringEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we believe that","java  ,   go lang  ,   javascript  ,   react  ,   vue | apis  ,   aws  ,   kubernetes  ,   terraform  ,   cloud architecture   ,  fundamentals  ,  css  ,  debugging  ,  html  ,  problem solving  ,  system architecture  ,  software developer",Posted 6 days ago
"Nielsen - Frontend Developer  ( Go ,  Javascript ,  React ,  Vue ,  Devops ,  postgres ,  cassandra ,  elasticsearch )",Nielsen Research Ltd. Co.,6 - 10,Bengaluru / Bangalore,,"Frontend Developer  ( Go ,  Javascript ,  React ,  Vue ,  Devops ,  postgres ,  cassandra ,  elasticsearch ) Bangalore ,  IndiaTechnology: OtherEmployment Type: Full TimeWork","go  ,   javascript  ,   react  ,   postgres  ,   cassandra   ,  orchestration  ,  docker  ,  postgresql  ,  devops  ,  api  ,  production environment  ,  system architecture",Posted 6 days ago
"Nielsen - Staff Software Engineer -  ( Full stack developer ,  Java ,  Go ,  Ruby ,  Javascript ,  React ,  Vue ,  APIs ,  AWS ,  Kubernete",Nielsen Research Ltd. Co.,8 - 11,Mumbai,,"Staff Software EngineerLocation: Mumbai ,  IndiaTechnology: OtherEmployment Type: Full TimeWork Arrangement: HybridAt Nielsen ,  we believe that career growth is a partnership","full stack development   ,   java   ,   go   ,   react   ,   aws   ,  css  ,  postgresql  ,  software engineer  ,  html  ,  mysql  ,  technical skills  ,  javascript  ,  ruby  ,  cassandra  ,  system architecture",Posted few days ago
Frontend Developer  ( All levels ),OUTSCAL TECHNOLOGIES PRIVATE LIMITED,0 - 3,"Bengaluru / Bangalore,  Delhi/NCR,  Hyderabad/Secunderabad,  Mumbai,  Pune",₹Rs 10.00 - 40.00 Lacs p.a.,"Join us as a Frontend Engineer and shape the visual experience of our gaming products. As a key member of our team ,  you'll be responsible for designing and implementing capt","html  ,  css  ,  javascript  ,  react  ,  Angular  ,  Node.js  ,  Vue.js  ,  git  ,  c ++",Posted a month ago
Web Developer,CONNECTING 2 WORK,10 - 13,Bengaluru / Bangalore,,We are looking for an experienced Web developer with expertise in Vue.js to work with us for a duration of 3-6 months as a contractor.Location: Bangalore / KochinSkills requir,"web development   ,   vue  ,  js   ,   html   ,   javascript   ,   ui development   ,  web developer",Posted few days ago
Java Full Stack Developer,virtusa consulting services pvt. ltd.,3 - 5,Chennai,,"Java Full Stack Developer - CREQ193261DescriptionExperience level 3-5 years expDeveloper should be proficient in Full Stack technologies mentioned belowBackend - Java ,  Sprin","java   ,   spring boot   ,   sql   ,   rest   ,   vue js   ,  css",Posted few days ago
Java Full Stack,virtusa consulting services pvt. ltd.,5 - 7,"Chennai,  Pune",,"Java Full Stack - CREQ191245Experience level 5-7 years expDeveloper should be proficient in Full Stack technologies mentioned belowBackend - Java ,  Spring Boot ,  SQL ,  REST","java  ,   spring boot  ,   sql  ,   rest  ,   vue js  ,   css  ,   aws   ,  bootstrap",Posted few days ago
Java Fullstack,virtusa consulting services pvt. ltd.,5 - 7,Pune,,"Java Fullstack - CREQ191266Description:Experience level 5-7 years expDeveloper should be proficient in Full Stack technologies mentioned belowBackend - Java ,  Spring Boot ,","**  java   ,   spring boot   ,   sql   ,   rest   ,   vue js **  ,  css  ,  bootstrap",Posted few days ago
Full Stack Developer,Araca Solutions,5 - 10,"Bengaluru / Bangalore,  Pune",,"Position: Full Stack Developer  Experience: 5  Years  Location: Trivandrum ,  Chennai ,  Pune ,  Bangalore Notice Period: Immediate 15 days  Primary Skills: PHP  ( Laravel )","PHP  ,   React  /  Vuejs",Posted few days ago
Frontend Engineer  ( Data team ),Binance,3 - 6,,,"Frontend Engineer  ( Data team ) Location: Taiwan ,  Taipei  /  Asia  /  Hong Kong  /  Japan ,  Tokyo  /  South East AsiaDepartment: Engineering  Big DataEmployment Type: Full","front end development   ,   javascript   ,   css   ,   html   ,   react  /  vue   ,  graphics  ,  security  ,  big data  ,  infrastructure",Posted 3 days ago
Associate Staff Engineer,Nagarro India Pvt Ltd,4 - 9,Philippines,,"The Senior Developer will work closely with a team of software developers within an Agile Scrum environment to design ,  develop ,  maintain ,  and enhance market-leading web","c#  ,   .net  ,   web api  ,   vue js  ,   agile   ,  sql  ,  docker  ,  git  ,  linux  ,  mongodb  ,  rest  ,  entity framework  ,  linq",Posted 4 days ago
Application Architect,IBM India Pvt Ltd,6 - 9,China,,"# ## IntroductionAs an IBM Application Architect ,  you directly help clients transform their business and solve complex problems. You will define the scope and vision for pro","bootstrap  ,   jquery  ,   vue  ,   front end development  ,   teamwork   ,  technical leader  ,  software developer",Posted few days ago
Estgio  Desenvolvedor de Aplicaes,IBM India Pvt Ltd,2 - 5,,,"Introduction:As an Application Developer ,  you will lead IBM into the future by translating system requirements into the design and development of customized systems in an ag","logical programming   ,   node  ,  js   ,   angular   ,   vue  ,  js   ,   sql database   ,  python  ,  docker  ,  node.js  ,  apache  ,  devops  ,  cloud computing",Posted few days ago
Associate Principal Engineer,Nagarro India Pvt Ltd,10 - 13,"Pune,  Jaipur",,"Company DescriptionWe're Nagarro. We are a Digital Product Engineering company that is scaling in a big way! We build products ,  services ,  and experiences that inspire ,  e","aws codedeploy   ,   aws lambda   ,   mongodb   ,   react   ,   vue  ,  js   ,  information technology  ,  technical design  ,  security  ,  design patterns  ,  technical requirements  ,  application deployment",Posted few days ago
Associate Principal Engineer,Nagarro India Pvt Ltd,10 - 13,"Pune,  Jaipur",,"Company Description We're Nagarro. We are a Digital Product Engineering company that is scaling in a big way! We build products ,  services ,  and experiences that inspire ,","aws codedeploy   ,   aws lambda   ,   mongodb   ,   react   ,   vue  ,  js   ,  information technology  ,  technical design  ,  security  ,  design patterns  ,  technical requirements  ,  application deployment",Posted few days ago
Senior Full-stack developer- Backend oriented,Intel Technology India Pvt Ltd,5 - 8,Israel,,# ## Who are we?cnvrg.io is transforming AI and data science with a code-first platform helping the world's largest companies scale their machine learning with an unparalleled,"full stack development   ,   python  /  go   ,   vue  ,  js  /  react   ,   kubernetes   ,   sql  /  nosql   ,  bi  ,  docker  ,  software engineering  ,  machine learning  ,  ruby  ,  infrastructure",Posted few days ago
Sviluppatore Front End,IBM India Pvt Ltd,2 - 6,Italy,,"# **Introduction**In questo ruolo avrai lopportunit di lavorare in uno dei nostri IBM Consulting Client Innovation Center  ( Delivery Center )  ,  dove forniamo una profonda e","react  ,   angular  ,   vue.js  ,   react native  ,   flutter   ,  rest  ,  html5  ,  mobile  ,  ajax  ,  javascript  ,  jquery  ,  xml  ,  json  ,  api",Posted few days ago
"DE Jobs - Mouser Electronics Inc. Senior Software Engineer in BANGALORE ,  India",buck global llc,7 - 10,Bengaluru / Bangalore,,"Senior Software EngineerTitle: Senior Software EngineerLocation: IndiaHours: M-F ,  2PM-11PMRequisition Number: 17832Apply NowACCOUNTABILITIES  & amp; ESSENTIAL FUNCTIONSBeing","mean  /  mern stack   ,   angular  /  react  /  vue   ,   node  ,  js   ,   javascript  /  typescript   ,   ecommerce  /  aws  /  java   ,  senior software engineer  ,  json  ,  rest  ,  node.js  ,  .net",Posted 1 day ago
Software Engineer,Moody's Corporation,3 - 5,,,"Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : Elixir Business Park ,  Plot 15A ,  5th - 8th Floor ,  Noida ,  Uttar Pradesh ,  2","javascript programming   ,   vue  ,  js development   ,   ui component design   ,   microservices architecture   ,   software development life cycle   ,  algorithms  ,  css  ,  html5  ,  rest api  ,  react.js  ,  debugging  ,  data structures",Posted 4 days ago
Senior Software Engineer,Moody's Corporation,7 - 9,,,"## - **Experience Level:** Experienced Hire- **Categories:** Engineering  & amp; Technology- **Location ( s ) :** Elixir Business Park ,  Plot 15A ,  5th - 8th Floor ,  Noida","javascript programming   ,   vue  ,  js  &  react  ,  js   ,   microservices architecture   ,   ui component development   ,   software development life cycle   ,  algorithms  ,  css  ,  html5  ,  rest api  ,  react.js  ,  debugging  ,  data structures",Posted 4 days ago
Senior Software Engineer,Moody's Corporation,7 - 10,,,"****Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : Elixir Business Park ,  Plot 15A ,  5th - 8th Floor ,  Noida ,  Uttar Pradesh","javascript programming   ,   vue  ,  js  &  react  ,  js   ,   ui component development   ,   microservices architecture   ,   software development life cycle   ,  algorithms  ,  css  ,  html5  ,  rest api  ,  react.js  ,  debugging  ,  data structures",Posted 4 days ago
Front end Developer,revinfotech pvt. ltd.,1 - 4,Gurgaon,,Responsibilities and DutiesHTML / Front-end developer HTML / Front-end developerPSD to Responsive HTML ConversionCreate quality mockups and prototypesMaintain and improve webs,"HTML  /  CSS   ,   JavaScript   ,   Bootstrap   ,   UI  /  Front end development   ,   Angular  /  React  /  Vue  ,  js   ,  html5  ,  mobile  ,  bootstrap  ,  javascript  ,  git  ,  debugging  ,  web development",Posted few days ago
Software Engineer,Moody's Corporation,3 - 10,Bengaluru / Bangalore,,"Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : Quay Building 8th Floor ,  Bagmane Tech Park ,  Bengaluru ,  INPosition: Software","javascript programming  ,   vue.js framework  ,   ui component development  ,   microservices architecture  ,   software development life cycle   ,  algorithms  ,  css  ,  html5  ,  rest api  ,  react.js  ,  debugging  ,  data structures",Posted few days ago
Software Engineer,Moody's Corporation,3 - 7,Bengaluru / Bangalore,,"### - **Experience Level:** Experienced Hire- **Categories:** Engineering  & amp; Technology- **Location ( s ) :** Quay Building 8th Floor ,  Bagmane Tech Park ,  Bengaluru ,","javascript programming   ,   vue  ,  js development   ,   microservices architecture   ,   unit testing   ,   software development life cycle   ,  algorithms  ,  css  ,  html5  ,  rest api  ,  react.js  ,  debugging  ,  data structures",Posted few days ago
Senior Software Engineer,Moody's Corporation,7 - 9,Bengaluru / Bangalore,,"## - **Experience Level:** Experienced Hire- **Categories:** Engineering  & amp; Technology- **Location ( s ) :** Quay Building 8th Floor ,  Bagmane Tech Park ,  Bengaluru ,","javascript programming   ,   vue  ,  js development   ,   microservices architecture   ,   ui component design   ,   software development life cycle   ,  algorithms  ,  css  ,  html5  ,  rest api  ,  react.js  ,  debugging  ,  data structures",Posted few days ago
Full-Stack Developer - Python  &  Javascript,global invisions consulting,3 - 8,"Cochin/ Kochi/ Ernakulam,  Other City(s) in Kerala",,Were looking for a software developer experienced in front and backend technologies. Responsibilities will include bridging the gap between graphical design and technical impl,"python   (  django  )     ,   javascript   (  vue  ,  js  ,   react  ,   angularjs  )     ,   responsive design   ,   restful apis   ,   git version control   ,  mobile  ,  problem solving  ,  infrastructure  ,  json  ,  software developer",Posted few days ago
Java Developer  Japanese Bilingual,IBM India Pvt Ltd,2 - 7,Philippines,,IntroductionA career in IBM Consulting embraces long-term relationships and close collaboration with clients across the globe. Youll work with visionaries across multiple indu,"java web development  ,   rest web services  ,   vue.js  ,   sql   (  db2  )    ,   microservices concepts    ,  technical leader  ,  j2ee  ,  mysql  ,  jlpt  ,  software developer",Posted few days ago
Full Stack Developer,Unified Cloud Pvt Ltd,7 - 15,"Delhi,  Delhi/NCR,  Noida/Greater Noida",,: Full Stack DeveloperJob Title: Full Stack Developer  ( SDE / Team Lead ) Experience: 7-15 Years.department: SDEPosition Type: Full TimeJob Location: Delhi / NCRAs a Full Sta,"full stack development  ,   .net technologies  ,   c#  ,   mvc  ,   web api  ,   front end development  ,   html  ,   css  ,   javascript  ,   angular  ,   react  ,   vue.js  ,   relational databases  ,   sql  ,   version control systems  ,   cloud platforms  ,   problem solving  ,   communication   ,  software requirements  ,  git  ,  asp.net  ,  debugging  ,  mysql",Posted 3 days ago
Java Full Stack Developer,virtusa consulting services pvt. ltd.,8 - 11,"Bengaluru / Bangalore,  null",,"Java Full Stack Developer - CREQ194608DescriptionEssential Skills:Solid work experience in JavaScript ,  TypeScript ,  NodeJsGood Understanding  & amp; work experience in HTML","javascript  ,   typescript  ,   nodejs  ,   html  /  css  ,   angular 7  ,   vue js  ,   core java  ,   j2ee  ,   restful web services  ,   spring framework  ,   microservices architecture  ,   springboot  ,   devops practices  ,   ci  /  cd tools   ,  docker  ,  github  ,  maven  ,  problem solving  ,  splunk",Posted 4 days ago
Lead Frontend Engineer,PUBLICIS GROUPE,3 - 8,Mumbai,,Lead Frontend EngineerFull-timeCompany DescriptionDigitas is the Global Marketing  & amp; Technology Services brand and part of Publicis Groupe. Digitas' Connected Marketing A,"nextjs  ,   reactjs  ,   micro frontends  ,   wireframe conversion  ,   html5  /  css3  /  javascript  ,   css pre processing  ,   tailwind css  ,   oop in javascript  ,   js frameworks   (  backbone  /  angular  /  vue  )    ,   frontend development tools  ,   restful apis  ,   version control   (  git  /  bitbucket  /  svn  )    ,   unit testing  ,   seo  /  accessibility  /  performance optim",Posted few days ago
UI  /  Front End Architect,born commerce private limited bangalore -tech mahindra company ),5 - 15,"Chennai,  Bengaluru / Bangalore,  Pune",,"Location:Bangalore ,  INChennai ,  INPune ,  INIndiaWe are looking for a Strong Architect with real-time development experience in UI / Front End to join our award-winning tea","ui  /  front end development   ,   sdlc   ,   html and css   ,   javascript frameworks   (  angular  ,   bootstrap  ,   vue js  ,   node js  ,   reactjs  )     ,   e commerce platform    ,  hybris  ,  html5  ,  aem  ,  jquery  ,  salesforce  ,  magento  ,  windows phone  ,  mobile  ,  drupal  ,  web technologies",Posted few days ago
PHP Developer,web guru infosystems,2 - 6,Kolkata,,"PHP Developer:Clean ,  efficient ,  well-documented code.problem-solving skills ,  attention to detail.Emerging technologies  & amp; adoption of new tools ,  frameworks.Optimi","php frameworks   ,   mysql  /  postgresql  /  mongodb   ,   front end javascript   ,   git   ,   problem solving   ,  laravel  ,  wordpress  ,  php developer  ,  react.js  ,  drupal  ,  cake  ,  codeigniter  ,  opencart  ,  angularjs",Posted 1 day ago
Frontend Developer,GreenHonchos Solutions Pvt. Ltd.,2 - 3,Noida/Greater Noida,,:Job Responsibilities:Developing user-facing applications using Vue.jsBuilding modular and reusable components and librariesOptimizing your application for performanceImplemen,"supervision  ,  maintenance  ,   application for performance",Posted 6 days ago
Opening for Software Engineer  ( Job Code: CHD:EDD ),COGNITER TECHNOLOGIES,2 - 5,Chandigarh,,"Opening for Software Engineer  ( Job Code: CHD:EDD ) 2-5 Years SkillsProficient in .net development ,  including MVC ,  .net Core ,  and ASP.net Core ,  with a strong grasp of",",  net development   ,   mvc   ,   node  ,  js   ,   sql queries   ,   client side scripting   ,  algorithms  ,  entity framework  ,  ado.net  ,  javascript  ,  jquery  ,  node.js  ,  linq  ,  database programming  ,  asp.net  ,  software engineer  ,  data structures",Posted 3 days ago
Ruby on Rails  ( ROR )  Developer,botree technologies,15 - 18,Ahmedabad,,"Proven working experience in developing applications with Ruby on Rails.demonstrable knowledge of front-end technologies such as JavaScript ,  HTML ,  CSS  &  JQuery.Solid und","css  ,  jquery  ,  oop  ,  database  ,  git  ,  ror  ,  html  ,  mongodb  ,  javascript  ,  ruby  ,  written communication",Posted 1 day ago
"Infogain looking for .net Core Developer  ( Senior )  ,  Noida ,  India 8-11 Years Experience in .net Development",Infogain Corporation,8 - 11,"Mumbai,  Bengaluru / Bangalore,  Pune,  Noida/Greater Noida,  Gurgaon",,"Position: .net Core Developer  ( Senior ) Skills: .net Development ,  .net Core ,  ASP.net ,  c#Location: Noida ,  IndiaPosted on: August 01 ,  2024Roles  & amp; Responsibilit",",  net development   ,     ,  net core   ,   asp  ,  net   ,   c#   ,   sql server   ,  artificial intelligence  ,  database  ,  devops  ,  asp.net  ,  debugging  ,  web development  ,  web api  ,  software engineering  ,  telecom  ,  oracle  ,  entity framework",Posted 1 day ago
Senior Software Engineer,Moody's Corporation,7 - 9,,,"Experience Level: Experienced HireCategories: Engineering  & amp; TechnologyLocation ( s ) : Tower -11 ,   ( IT / ITES )  SEZ of M / s Gurugram Infospace Ltd ,  Vill. Dundaher","java  ,   angularjs  ,   rest api  ,   docker  ,   agile development   ,  css  ,  soa  ,  senior software engineer  ,  sql  ,  spring  ,  html  ,  mysql  ,  mongodb  ,  junit  ,  oracle  ,  sybase  ,  maven  ,  javascript  ,  web technologies  ,  service oriented architecture",Posted 1 day ago
"Infogain looking for .net MVC Developer  ( Lead )  ,  Gurugram ,  India 8-11 Years Experience in .net Development",Infogain Corporation,8 - 11,"Mumbai,  Bengaluru / Bangalore,  Pune,  Noida/Greater Noida,  Gurgaon",,"Role: .net MVC Developer  ( Lead ) Skills: .net Development ,  AngularJS ,  BootStrap ,  ReactJS ,  .net Web API  ( restful APIs )  ,  ASP.net ,  c# ,  MVC ,  HTML ,  Jenkins",",  net development   ,   angularjs   ,   bootstrap   ,   reactjs   ,   sql   ,  html5  ,  artificial intelligence  ,  devops  ,  asp.net  ,  debugging  ,  web api  ,  software engineering  ,  telecom  ,  mvc  ,  c#  ,  cloud services  ,  entity framework  ,  javascript  ,  linq",Posted 1 day ago
Senior Web Developer  PHP,ESN TECHNOLOGIES,4 - 7,Hyderabad/Secunderabad,,"Senior Web Developer  PHP ,  MySQLWe are currently seeking a Senior Backend Web Developer committed to developing high quality code and working closely with the product team t","css  ,  ajax  ,  senior web developer  ,  apache  ,  postgresql  ,  xml  ,  linux  ,  web developer  ,  json  ,  html  ,  mysql  ,  rest  ,  lamp  ,  javascript  ,  php  ,  service oriented architecture",Posted 3 days ago
superviseur de Fabrication,Textron India Pvt Ltd,2 - 5,Canada,,": Superviseur de FabricationCompany: Bell Textron Inc.Location: Mirabel ,  Quebec ,  CanadaPosted Date: 2024-05-09Reference No: 323494JOB DUTIES:Rles et responsabilitsLe / la","bonded panel production   ,   vacuum bagging   ,   honeycomb machining   ,   hand routing   ,   lean manufacturing   ,  des  ,  jit  ,  fabrication  ,  panels  ,  kanban",Posted 2 days ago
Industry Consulting Senior Consultant,NTT Data Vertex Software Inc.,5 - 8,Bengaluru / Bangalore,,"Industry Consulting Senior ConsultantDate: Jul 26 ,  2024Location: Bangalore ,  KA ,  INCompany: NTT DATA ServicesReq ID: 291314NTT DATA Services strives to hire exceptional ,","go language   ,   sql proficiency   ,   data structures   ,   algorithm application   ,   postgres experience   ,  algorithms  ,  technology consulting  ,  software engineer  ,  github  ,  javascript",Posted 2 days ago
Shopware Developer,stagebit,0 - 3,Surat,,We are looking for a Shopware Developer who has in-depth knowledge  & amp; experience working with shopware shops in eCommerce. If you are seeking Shopware developer jobs in S,"cli  ,  css  ,  operating system  ,  composer  ,  javascript  ,  git  ,  php  ,  mysql  ,  html  ,  api  ,  unix",Posted 4 days ago
